2026-07-26 21:22:44 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:22:44 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'Add To Cart button')
2026-07-26 21:22:44 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'cart badge')
2026-07-26 21:22:45 | INFO     | CartPage | Clicking element: ('accessibility id', 'Proceed To Checkout button')
2026-07-26 21:22:51 | ERROR    | core.waits.wait_utils | Element was not visible: ('accessibility id', 'login screen')
2026-07-26 21:22:52 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_valid_login_during_checkout_20260726_212251_971215.png
2026-07-26 21:22:52 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_valid_login_during_checkout_20260726_212251_971215.png
2026-07-26 21:22:52 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=f17e337f-e74e-4664-bf14-712ec904d0e3
2026-07-26 21:22:52 | INFO     | conftest | Test session finished
2026-07-26 21:22:52 | INFO     | conftest | ======================================================================
2026-07-26 21:23:06 | INFO     | conftest | ======================================================================
2026-07-26 21:23:06 | INFO     | conftest | Starting new test session
2026-07-26 21:23:06 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:06 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:06 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:11 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=732c908d-66b7-47a1-8eef-00a2e13f5785
2026-07-26 21:23:11 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:23:13 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'Add To Cart button')
2026-07-26 21:23:13 | INFO     | ProductDetailsPage | Clicking element: ('accessibility id', 'cart badge')
2026-07-26 21:23:16 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=732c908d-66b7-47a1-8eef-00a2e13f5785
2026-07-26 21:23:16 | INFO     | conftest | Test session finished
2026-07-26 21:23:16 | INFO     | conftest | ======================================================================
2026-07-26 21:23:16 | INFO     | conftest | ======================================================================
2026-07-26 21:23:16 | INFO     | conftest | Starting new test session
2026-07-26 21:23:16 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:16 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:16 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:20 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=04c7af43-0d98-40a8-912f-0148b5df40d3
2026-07-26 21:23:25 | ERROR    | core.waits.wait_utils | Element was not visible: ('accessibility id', 'products screen')
2026-07-26 21:23:25 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_open_backpack_20260726_212325_301941.png
2026-07-26 21:23:25 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_open_backpack_20260726_212325_301941.png
2026-07-26 21:23:26 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=04c7af43-0d98-40a8-912f-0148b5df40d3
2026-07-26 21:23:26 | INFO     | conftest | Test session finished
2026-07-26 21:23:26 | INFO     | conftest | ======================================================================
2026-07-26 21:23:26 | INFO     | conftest | ======================================================================
2026-07-26 21:23:26 | INFO     | conftest | Starting new test session
2026-07-26 21:23:26 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:26 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:26 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:30 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=8e1182b6-e51b-4888-bd42-3edf611d22f1
2026-07-26 21:23:30 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:23:31 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212330_630013.png
2026-07-26 21:23:31 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212330_630013.png
2026-07-26 21:23:31 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=8e1182b6-e51b-4888-bd42-3edf611d22f1
2026-07-26 21:23:31 | INFO     | conftest | Test session finished
2026-07-26 21:23:31 | INFO     | conftest | ======================================================================
2026-07-26 21:23:31 | INFO     | conftest | ======================================================================
2026-07-26 21:23:31 | INFO     | conftest | Starting new test session
